WELFARECODE,MEDICINENAME,件数
2325003F3256,◇ﾌｧﾓﾁｼﾞﾝOD錠10mg,2
5200050F1044,ｸﾗｼｴ柴胡加竜骨牡蛎湯ｴｷｽ錠EKT-12(院外),7
5200144D1020,ﾂﾑﾗ苓姜朮甘湯(2.5g/包)TJ-118(院外),22
1149019F1676,◇ﾛｷｿﾌﾟﾛﾌｪﾝNa錠60mg,19
1147700J2240,◇ｼﾞｸﾛﾌｪﾅｸNa坐剤25mg,2
1161001F1140,◇ｱﾏﾝﾀｼﾞﾝ塩酸塩錠50mg,7
1169015F2138,◇ｿﾞﾆｻﾐﾄﾞOD錠25mgTRE,1
1129010F2105,◇ｴｽｿﾞﾋﾟｸﾛﾝ錠2mg,3
2399401A1083,プリンペラン注射液(10mg/2mL)(院外/退院),2
3969009F6033,◇ﾐｸﾞﾘﾄｰﾙOD錠25mg,1
1190014F1033,◇ｾﾚｼﾞｽﾄ錠5mg,7
1124028F1030,◇5mgｺﾝﾄｰﾙ錠,4
2290800G9025,◇ｱﾄﾞｴｱ250ｴｱｿﾞｰﾙ120吸入用,2
2144002F1318,◇ｴﾅﾗﾌﾟﾘﾙﾏﾚｲﾝ酸塩錠2.5mg,5
2149040F1140,◇ｶﾝﾃﾞｻﾙﾀﾝ錠2mg,1
2325003B2126,◇ﾌｧﾓﾁｼﾞﾝ散2%,5
2249003B1037,◇ｱｽﾍﾞﾘﾝ散10%,9
3969006F1038,☆ファスティック錠３０ｍｇ（院外専用）,20
,【005】MK-6482錠40mg(90錠/本)(泌尿・200051),15
2239001Q1166,◇小児用ﾑｺｿﾙﾊﾞﾝｼﾛｯﾌﾟ0.3%,4
1169013F3020,レキップ錠2mg（院外専用）,37
1190011F1056,リルゾール錠５０ｍｇ「ニプロ」,44
3999006F1037,◇ﾊｲﾁｵｰﾙ錠40,8
5200052C1020,◇ｺﾀﾛｰ柴胡桂枝乾姜湯ｴｷｽ細粒,3
5200079C1020,◇ｵｰｽｷﾞ四苓湯細粒(調剤用),2
5200082C1030,◇ｺﾀﾛｰ神秘湯ｴｷｽ細粒,3
5200112C1024,◇三和当帰芍薬散加附子ｴｷｽ細粒,2
1139003C1052,◇ﾗﾝﾄﾞｾﾝ細粒0.1%,20
3922001B2041,◇ﾀﾁｵﾝ散20%,3
5200006C1039,◇ｺﾀﾛｰ温清飲ｴｷｽ細粒,1
5200024D1024,◇太虎堂のきゅう帰調血飲ｴｷｽ顆粒,4
5200131C1035,◇ｺﾀﾛｰ補中益気湯ｴｷｽ細粒,1
2649732S3086,◇ﾌﾙﾙﾋﾞﾌﾟﾛﾌｪﾝﾃｰﾌﾟ20mg,1
5200116D1060,◇ﾂﾑﾗ人参湯ｴｷｽ顆粒ｲ),9
7111001X1183,◇乳糖水和物,4
2149040F3177,◇ｶﾝﾃﾞｻﾙﾀﾝ錠8mg,2
2359005S1321,◇ﾋﾟｺｽﾙﾌｧｰﾄNa内用液0.75%,3
2190044F1020,◇ｹﾚﾝﾃﾞｨｱ錠10mg,4
1319752Q1067,◇ｵﾛﾊﾟﾀｼﾞﾝ点眼液0.1%,2
2590010F2127,◇ｼﾛﾄﾞｼﾝ錠4mg,1
1129010F1095,◇ｴｽｿﾞﾋﾟｸﾛﾝ錠1mg,1
6241013F2160,◇ﾚﾎﾞﾌﾛｷｻｼﾝ錠250mg,1
3999026F2057,◇ﾐﾉﾄﾞﾛﾝ酸錠50mg,2
6399422G2023,☆アボネックス筋注30μgペン(院外専用),1
2139011F3042,◇ﾄﾙﾊﾞﾌﾟﾀﾝOD錠7.5mg,13
2325003F1253,◇ﾌｧﾓﾁｼﾞﾝ錠10mg,5
2149039F1104,◇ﾛｻﾙﾀﾝK錠25mg,5
2325003F1326,◇ﾌｧﾓﾁｼﾞﾝ錠10mg,1
1179042F1070,◇ｸｴﾁｱﾋﾟﾝ錠25mg,3
1179061F1022,◇ﾗﾂｰﾀﾞ錠20mg,4
1124022F2110,◇ﾛﾗｾﾞﾊﾟﾑ錠1mg,8
2144008F2087,◇ｲﾐﾀﾞﾌﾟﾘﾙ塩酸塩錠5mg,1
2649843S1055,◇MS温ｼｯﾌﾟ,1
1180107D1158,◇ﾏﾘｷﾅ配合顆粒,1
4291023X2022,◇ｱﾌｨﾆﾄｰﾙ分散錠3mg,2
2171020F2220,◇ﾆﾄﾚﾝｼﾞﾋﾟﾝ錠10mg,4
1179045B1021,◇ｴﾋﾞﾘﾌｧｲ散1%,4
1164001B1034,◇ﾄﾞﾊﾟｽﾄﾝ散98.5%,2
1319762Q1095,◇ｴﾋﾟﾅｽﾁﾝ塩酸塩点眼液0.05%,2
2160006F2049,◇ﾘｻﾞﾄﾘﾌﾟﾀﾝOD錠10mg,1
3969007F1067,◇ﾋﾟｵｸﾞﾘﾀｿﾞﾝ錠15mg,2
2325006F1125,◇ﾗﾌﾁｼﾞﾝ錠5mg,1
3229002G1082,【限】塩化カリウム徐放錠６００ｍｇ｢St｣,3
2329029D1027,ネキシウム懸濁用顆粒分包(10mg/包)(院外),49
2171022F6110,◇ｱﾑﾛｼﾞﾋﾟﾝOD錠10mg,2
4291049M3027,（毒）ニンラーロカプセル４ｍｇ,30
6126001F2042,ポリミキシンＢ硫酸塩錠１００万単位（院外専用）,9
6126001F2034,◇硫酸ﾎﾟﾘﾐｷｼﾝB錠100万単位,2
2149040F4300,◇ｶﾝﾃﾞｻﾙﾀﾝ錠12mg,2
3399008F2099,◇ｸﾛﾋﾟﾄﾞｸﾞﾚﾙ錠75mg,4
3229007F1047,◇ｸﾞﾙｺﾝｻﾝK錠2.5mEq,3
2149114F1080,◇ｱﾑﾊﾞﾛ配合錠,3
3962002F2051,◇ﾒﾄﾎﾙﾐﾝ塩酸塩錠250mgMT,4
1190012F2189,◇ﾄﾞﾈﾍﾟｼﾞﾙ塩酸塩錠5mg,2
2149040F4351,◇ｶﾝﾃﾞｻﾙﾀﾝ錠12mg,2
4490020R1027,◇ｼﾞﾙﾃｯｸﾄﾞﾗｲｼﾛｯﾌﾟ1.25%,2
2149026F3266,◇ﾄﾞｷｻｿﾞｼﾝ錠2mg,1
5200069C1077,◇ｸﾗｼｴ十全大補湯ｴｷｽ細粒,2
2123016F3134,◇ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠0.625mg,2
2649729S3181,◇ｹﾄﾌﾟﾛﾌｪﾝﾃｰﾌﾟ40mg,1
1190017F1169,◇ﾌﾟﾚｶﾞﾊﾞﾘﾝOD錠25mg,5
3949005F3025,ユリス錠２ｍｇ（院外専用）,19
2144002C1028,◇ｴﾅﾗｰﾄ細粒1%,4
2325003B1090,◇ﾌｧﾓﾁｼﾞﾝ散10%,13
2171022F2408,◇ｱﾑﾛｼﾞﾋﾟﾝ錠5mg,2
2699717N1028,【限】ブイタマークリーム１％・１５ｇ,2
3150002D1041,◇ﾕﾍﾞﾗ顆粒20%,2
4490023R2035,ﾌｪｷｿﾌｪﾅｼﾞﾝ塩酸塩DS5%(15mg/0.3g/包)ﾄｰﾜ院外,2
1169008F1026,ペルマックス錠５０μｇ（院外専用）,4
4490020F1047,◇ｾﾁﾘｼﾞﾝ塩酸塩錠5mg,4
2419001F2020,◇ﾐﾆﾘﾝﾒﾙﾄOD錠240μg,15
2499422G5020,マンジャロ皮下注１２．５ｍｇアテオス(院外),4
6191001F1036,ビクシリンＳ配合錠２５０ｍｇ（院外専用）,1
2478002F2033,【限】ヒスロン錠５【AD】,27
3961008F2060,◇ｸﾞﾘﾒﾋﾟﾘﾄﾞ錠3mg,1
,【CAMCR-021】ﾒｸﾘｼﾞﾝ塩酸塩錠12.5mg(小児･239005),24
3999465D3020,ボックスゾゴ皮下注用１．２ｍｇ(院外),5
,【MMY3002】ﾃﾞｷｻﾒﾀｿﾞﾝ錠【4mg】(40錠/箱)(血内･220023),12
,【MMY3002】ﾎﾟﾏﾘﾄﾞﾐﾄﾞｶﾌﾟｾﾙ【2mg】(7個/箱)(血内･220023),1
,【MMY3002】ﾎﾟﾏﾘﾄﾞﾐﾄﾞｶﾌﾟｾﾙ【2mg】(21個/箱)(血内･220023),35
2139011F3085,◇ﾄﾙﾊﾞﾌﾟﾀﾝOD錠7.5mg,2
2189015F2151,◇ｱﾄﾙﾊﾞｽﾀﾁﾝ錠10mg,1
2655710M1034,◇ｱｽﾀｯﾄ軟膏1%,2
2634713M1038,◇ｸﾘﾝﾀﾞﾏｲｼﾝｹﾞﾙ1%,3
1149117F1110,◇ﾄｱﾗｾｯﾄ配合錠,1
4490020F2086,◇ｾﾁﾘｼﾞﾝ塩酸塩錠10mg,3
2325003F3175,◇ﾌｧﾓﾁｼﾞﾝD錠10mg,2
6290002M2115,◇ﾌﾙｺﾅｿﾞｰﾙｶﾌﾟｾﾙ100mg,4
2190415A1020,フローラン専用溶解液５０ｍｌ（院外専用）,3
2190413F3020,☆フローラン静注用１．５ｍｇ（院外専用）,22
2190413F3020,☆フローラン静注用１．５ｍｇ,6
2190413F2024,☆フローラン静注用０．５ｍｇ,20
6131001C2100,◇ﾜｲﾄﾞｼﾘﾝ細粒20%,1
6132015C1049,◇ｾﾌｼﾞﾄﾚﾝﾋﾟﾎﾞｷｼﾙ小児用細粒10%,1
2171022F5350,◇ｱﾑﾛｼﾞﾋﾟﾝ錠10mg,3
2329008C1097,アルサルミン細粒90％(900mg/1g/包)(院外),4
2129004M1050,◇ｱﾌﾟﾘﾝｼﾞﾝ塩酸塩ｶﾌﾟｾﾙ10mg,1
1179038F1090,◇ﾘｽﾍﾟﾘﾄﾞﾝ錠1mg,2
1190018F4090,◇ﾒﾏﾝﾁﾝ塩酸塩OD錠5mg,1
3969004F2027,◇ﾍﾞｲｽﾝ錠0.3,1
1124017F4200,◇ｼﾞｱｾﾞﾊﾟﾑ錠5mg,2
2590013F1035,◇ｽﾃｰﾌﾞﾗ錠0.1mg,7
2149111F1044,◇ｶﾃﾞﾁｱ配合錠LD,3
2454004Q1078,◇ﾘﾝﾃﾞﾛﾝｼﾛｯﾌﾟ0.01%,1
3999045M1028,ガラフォルドカプセル１２３ｍｇ(院外専用),45
2149039F1295,◇ﾛｻﾙﾀﾝｶﾘｳﾑ錠25mg,3
2590010F4170,◇ｼﾛﾄﾞｼﾝOD錠4mg,1
1319751Q1020,オゼックス点眼液0.3%･5ml（院外専用）,26
3949003F1104,◇ﾌｪﾌﾞｷｿｽﾀｯﾄ錠10mg,5
8119003F1023,(麻)ﾅﾙﾗﾋﾟﾄﾞ錠1mg,17
2171022F1185,◇ｱﾑﾛｼﾞﾋﾟﾝ錠2.5mg,5
1179017F2044,◇炭酸ﾘﾁｳﾑ錠200,8
5200125C1048,◇ｸﾗｼｴ白虎加人参湯ｴｷｽ細粒,4
1179045F1112,◇ｱﾘﾋﾟﾌﾟﾗｿﾞｰﾙ錠3mg,1
1179052M2053,◇ﾃﾞｭﾛｷｾﾁﾝｶﾌﾟｾﾙ30mg,1
1179051F1100,◇ﾐﾙﾀｻﾞﾋﾟﾝ錠15mg,1
5100169A1087,◇ﾄﾁﾓﾄのﾎﾞﾚｲ末(牡蠣末),5
4291003F2119,◇ﾀﾓｷｼﾌｪﾝ錠20mg,2
1139008F3020,◇ﾄﾋﾟﾅ錠25mg,5
1124026F1022,◇ｸﾞﾗﾝﾀﾞｷｼﾝ錠50,6
1190017F2181,◇ﾌﾟﾚｶﾞﾊﾞﾘﾝOD錠75mg,5
1124013F1033,◇ｾﾚﾅｰﾙ錠5,4
3999014F1031,◇ﾀｸﾛﾘﾑｽ錠0.5mg,3
1179044F4028,◇ｼﾞﾌﾟﾚｷｻｻﾞｲﾃﾞｨｽ錠5mg,4
1124022F2071,◇ﾜｲﾊﾟｯｸｽ錠1.0,3
3399002F1265,◇ｼﾛｽﾀｿﾞｰﾙ錠50mg,1
1179042F1178,◇ｸｴﾁｱﾋﾟﾝ錠25mg,3
4291009F2043,◇ﾋﾞｶﾙﾀﾐﾄﾞOD錠80mg,1
2251001G2064,◇ﾕﾆﾌｨﾙLA錠400mg,6
3112001F1047,◇ｶﾙﾌｨｰﾅ錠0.25μg,1
2325003F4279,◇ﾌｧﾓﾁｼﾞﾝOD錠20mg,2
1311701Q1031,サイプレジン１％点眼液１０ｍｌ,13
1169005F1200,◇ﾊﾟｰﾛﾃﾞﾙ錠2.5mg,2
1179054F2029,◇ﾚｸｻﾌﾟﾛ錠20mg,4
1139008F1035,◇ﾄﾋﾟﾗﾏｰﾄ錠50mg,3
1172014F1027,◇ﾋﾙﾅﾐﾝ錠(5mg),6
2259707S3074,◇ﾂﾛﾌﾞﾃﾛｰﾙﾃｰﾌﾟ2mg,3
5200038D1085,◇太虎堂の桂枝茯苓丸料ｴｷｽ顆粒,1
5200105D1020,◇太虎堂の通導散ｴｷｽ顆粒,1
5900002A1020,ｺﾀﾛｰ炮附子末 AP-61(院外専用),5
5200082C1056,ｸﾗｼｴ神秘湯(3.0g/包)KB-85(院外専用),2
5200088D1032,ﾂﾑﾗ川茶調散(2.5g/包)TJ-124(院外),2
1129010F3152,◇ｴｽｿﾞﾋﾟｸﾛﾝ錠3mg,1
1139004F2190,◇ﾊﾞﾙﾌﾟﾛ酸Na錠200mg,7
3969009F4049,◇ﾐｸﾞﾘﾄｰﾙOD錠50mg,5
3962002F2043,◇ﾒﾄﾎﾙﾐﾝ塩酸塩錠250mgMT,3
2499411G1026,☆ﾊﾞｲｴｯﾀ皮下注５μgﾍﾟﾝ300(56回用)(院外),3
2499411G2022,☆ﾊﾞｲｴｯﾀ皮下注10μgﾍﾟﾝ300(28回用)(院外),6
2499411G2022,ﾊﾞｲｴｯﾀ皮下注10μgﾍﾟﾝ300(28回用)(院外),1
6290005F1105,◇ﾃﾙﾋﾞﾅﾌｨﾝ錠125mg,2
247770AH2021,◇ｳﾄﾛｹﾞｽﾀﾝ腟用ｶﾌﾟｾﾙ200mg,4
2171014M2291,【限】ニフェジピンカプセル１０ｍｇ｢ｻﾜｲ｣,25
247770AH4024,◇ﾜﾝｸﾘﾉﾝ腟用ｹﾞﾙ90mg,2
1143001X1236,◇ｱｽﾋﾟﾘﾝ原末,5
1141007C2020,◇ｶﾛﾅｰﾙ細粒50%,6
1319739Q1185,◇ﾗﾀﾉﾌﾟﾛｽﾄ点眼液0.005%,2
2149040F1310,◇ｶﾝﾃﾞｻﾙﾀﾝ錠2mg,1
2655709Q1076,◇ｹﾄｺﾅｿﾞｰﾙ外用液2%,4
1124025F1028,◇ﾒﾚｯｸｽ錠0.5mg,2
2123009F3550,◇ﾋﾟﾝﾄﾞﾛｰﾙ錠5mg,2
3949004F3039,◇ﾄﾋﾟﾛﾘｯｸ錠60mg,2
1179052M1103,◇ﾃﾞｭﾛｷｾﾁﾝｶﾌﾟｾﾙ20mg,5
2189016F5112,◇ﾋﾟﾀﾊﾞｽﾀﾁﾝｶﾙｼｳﾑOD錠2mg,3
2259708G2029,◇ｾﾚﾍﾞﾝﾄ50ﾛﾀﾃﾞｨｽｸ,1
2190104F1121,◇ｱﾏﾙｴｯﾄ配合錠4番,3
2290807G2022,◇ｴﾅｼﾞｱ吸入用ｶﾌﾟｾﾙ高用量,10
5200016F1039,ｸﾗｼｴ加味帰脾湯ｴｷｽ錠EKT-49(院外専用),21
1179051F1088,◇ﾐﾙﾀｻﾞﾋﾟﾝ錠15mg,4
2399005F2317,◇ﾄﾞﾝﾍﾟﾘﾄﾞﾝ錠10mg,3
3999471G2026,【限】ｼﾞﾙﾋﾞｽｸ皮下注ｼﾘﾝｼﾞ(23.0mg/0.574mL),8
2329022H2058,◇ｵﾒﾌﾟﾗｿﾞｰﾙ錠｢ﾄｰﾜ｣10mg,2
2189019M1063,◇ｵﾒｶﾞ-3脂肪酸ｴﾁﾙ粒状ｶﾌﾟｾﾙ2g,1
1169012G2067,◇ﾌﾟﾗﾐﾍﾟｷｿｰﾙ塩酸塩LA錠1.5mgMI,2
1169012G2075,◇ﾌﾟﾗﾐﾍﾟｷｿｰﾙ塩酸塩LA錠1.5mgMI,2
2149040F1271,◇ｶﾝﾃﾞｻﾙﾀﾝ錠2mg,3
1319722Q2020,◇ｵﾌﾛｷｻｼﾝｹﾞﾙ化点眼液0.3%,2
1169006C1039,◇ﾄﾞﾌﾟｽ細粒20%,1
2190103F1054,◇ｱﾏﾙｴｯﾄ配合錠3番,12
5200011D1035,◇ｵｰｽｷﾞ黄連解毒湯ｴｷｽG,1
5200048C1067,◇〔東洋〕五苓散料ｴｷｽ細粒,1
5200070D1024,◇ｵｰｽｷﾞ十味敗毒湯ｴｷｽG,1
2590010F2089,◇ｼﾛﾄﾞｼﾝ錠4mg,2
1139004Q1119,◇ﾊﾞﾙﾌﾟﾛ酸ﾅﾄﾘｳﾑｼﾛｯﾌﾟ5%,2
1139004Q1127,◇ﾊﾞﾙﾌﾟﾛ酸Naｼﾛｯﾌﾟ5%,8
2649729S5036,◇ｹﾄﾌﾟﾛﾌｪﾝﾊﾟｯﾌﾟXR120mg,2
2189016F1109,◇ﾋﾟﾀﾊﾞｽﾀﾁﾝCa錠1mg,2
1129009F2170,◇ｿﾞﾙﾋﾟﾃﾞﾑ酒石酸塩錠10mg,1
2234001F1371,【限】ブロムヘキシン塩酸塩錠４ｍｇ｢ﾄｰﾜ｣,1
2473700S6020,エストラーナテープ０．１８ｍｇ(院外専用),15
6139001F2024,◇ﾌｧﾛﾑ錠200mg,2
1139700Q1029,☆ブコラム口腔用液(2.5mg/0.5mL),3
1124701J3025,◇ﾀﾞｲｱｯﾌﾟ坐剤10,1
1125700J5039,◇ﾜｺﾋﾞﾀｰﾙ坐剤100,1
1139008C1020,◇ﾄﾋﾟﾅ細粒10%,5
1190017F1185,◇ﾌﾟﾚｶﾞﾊﾞﾘﾝOD錠25mg,7
2190022F1180,◇ｱﾒｼﾞﾆｳﾑﾒﾁﾙ硫酸塩錠10mg,2
3332001F2020,◇ﾜｰﾌｧﾘﾝ錠5mg,9
1179025F2219,◇ｴﾁｿﾞﾗﾑ錠1mg,1
2189010F1446,◇ﾌﾟﾗﾊﾞｽﾀﾁﾝﾅﾄﾘｳﾑ塩錠5mg,1
2646726M1117,◇ﾒｲﾝﾍﾞｰﾄ軟膏0.1%,1
1319742Q1292,◇ﾚﾎﾞﾌﾛｷｻｼﾝ点眼液0.5%,1
2190041F2023,【限】エンレスト錠１００ｍｇ,10
1190017F1070,◇ﾌﾟﾚｶﾞﾊﾞﾘﾝOD錠25mg,3
2160007F1020,◇ｱﾏｰｼﾞ錠2.5mg,1
,NZ-C1909(Nebotermin/担体ｺﾝﾋﾞ製品)(整外･220030),2
2646701N2135,◇ﾘﾝﾃﾞﾛﾝ-Vｸﾘｰﾑ0.12%,13
1141007C1075,◇ｶﾛﾅｰﾙ細粒20%,2
5200065D1031,ﾂﾑﾗ四物湯(2.5g/包)TJ-71(院外専用),6
2149118F2085,◇ｲﾙｱﾐｸｽ配合錠HD,2
2290701G4020,◇ﾊﾟﾙﾐｺｰﾄ吸入液0.25mg,1
2149042F3125,◇ﾃﾙﾐｻﾙﾀﾝ錠80mg,1
1169701S1020,◇ﾊﾙﾛﾋﾟﾃｰﾌﾟ8mg,10
4490028F1205,◇ﾚﾎﾞｾﾁﾘｼﾞﾝ塩酸塩錠5mg,3
,BAY63-2521懸濁顆粒0.3％(10.5g)(小児・8025）,2
2190413F2075,☆ｴﾎﾟﾌﾟﾛｽﾃﾉｰﾙ静注用｢ﾔﾝｾﾝ｣(0.5mg),10
2190413F3071,☆ｴﾎﾟﾌﾟﾛｽﾃﾉｰﾙ静注用｢ﾔﾝｾﾝ｣(1.5mg),19
1124020F1025,◇ﾚｷｿﾀﾝ錠1,7
2190005F1284,◇ｲﾌｪﾝﾌﾟﾛｼﾞﾙ酒石酸塩錠10mg,1
1126002X1051,☆臭化ナトリウム水（１００ｍｇ／ｍｌ）,18
1139011R1025,☆ﾃﾞｨｱｺﾐｯﾄﾄﾞﾗｲｼﾛｯﾌﾟ分包(250mg/包)(院外),15
1139011R1025,◇ﾃﾞｨｱｺﾐｯﾄﾄﾞﾗｲｼﾛｯﾌﾟ分包250mg,2
1126002X1051,☆臭化ナトリウム水(100mg/mL)(院外専用),36
1126002X1051,臭化ナトリウム水(100mg/mL)(院外専用),48
1139011R1025,ﾃﾞｨｱｺﾐｯﾄﾄﾞﾗｲｼﾛｯﾌﾟ分包(250mg/包)(院外),58
1126002X1051,◇臭化ﾅﾄﾘｳﾑ,3
2646726Q1046,◇ﾒｻﾃﾞﾙﾑﾛｰｼｮﾝ0.1%,3
6250029F1083,◇ｴﾝﾃｶﾋﾞﾙ錠0.5mg,1
2149037F3060,◇ｼﾙﾆｼﾞﾋﾟﾝ錠20mg,1
1139010F2128,◇ﾚﾍﾞﾁﾗｾﾀﾑ錠500mg,4
1242002F1381,◇ﾌﾞﾁﾙｽｺﾎﾟﾗﾐﾝ臭化物錠10mg,1
2190042F2028,ベリキューボ錠５ｍｇ（院外専用）,18
2190042F2028,◇ﾍﾞﾘｷｭｰﾎﾞ錠5mg,4
2344002X1136,◇重質酸化ﾏｸﾞﾈｼｳﾑ,2
2325003F3213,◇ﾌｧﾓﾁｼﾞﾝOD錠10mg,2
3999018F2060,◇ｱﾚﾝﾄﾞﾛﾝ酸錠35mg,3
8114004C3028,モルペス細粒２％（10mg／0.5g）【AD】,8
2399706M1095,◇ﾃﾞｷｻﾒﾀｿﾞﾝ軟膏口腔用0.1%,2
2149048F3068,◇ｱｼﾞﾙｻﾙﾀﾝ錠10mg,3
3999054F1028,◇ｴﾄﾞﾙﾐｽﾞ錠50mg,2
2312001X1090,◇ﾀﾝﾆﾝ酸ｱﾙﾌﾞﾐﾝ,2
2590016F2060,◇ﾀﾀﾞﾗﾌｨﾙ錠5mgZA,4
1179040F1055,◇ﾐﾙﾅｼﾌﾟﾗﾝ塩酸塩錠15mg,4
1179040F1110,◇ﾐﾙﾅｼﾌﾟﾗﾝ塩酸塩錠15mg,1
1169012F1138,◇ﾌﾟﾗﾐﾍﾟｷｿｰﾙ塩酸塩錠0.125mg,2
2691702Q1020,◇ｵｷｻﾛｰﾙﾛｰｼｮﾝ25μg/g,4
2129008M1130,◇ﾋﾟﾙｼｶｲﾆﾄﾞ塩酸塩ｶﾌﾟｾﾙ25mg,1
4291015F1042,◇ﾚﾄﾛｿﾞｰﾙ錠2.5mg,1
2699802Q1026,◇ﾄﾞﾎﾞﾍﾞｯﾄｹﾞﾙ,4
2223001F2153,◇ﾃﾞｷｽﾄﾛﾒﾄﾙﾌｧﾝ臭化水素酸塩錠15mg,2
2344009F1094,◇酸化ﾏｸﾞﾈｼｳﾑ錠250mg,3
2482012F1025,ジェミーナ配合錠（院外専用）,23
2482012F1025,◇ｼﾞｪﾐｰﾅ配合錠,5
2344009F1108,◇酸化ﾏｸﾞﾈｼｳﾑ錠250mg,2
1179025F1344,◇ｴﾁｿﾞﾗﾑ錠0.5mg,1
2113003F2061,◇ｼﾞｺﾞｷｼﾝ錠0.125mg,1
1319742Q2159,◇ﾚﾎﾞﾌﾛｷｻｼﾝ点眼液1.5%,1
4490027R1053,◇ﾛﾗﾀｼﾞﾝDS1%,3
2290800G7030,◇ｱﾄﾞｴｱ50ｴｱｿﾞｰﾙ120吸入用,1
2144008F1188,◇ｲﾐﾀﾞﾌﾟﾘﾙ塩酸塩錠2.5mg,1
1179051F1096,◇ﾐﾙﾀｻﾞﾋﾟﾝ錠15mg,3
7131001X1259,◇精製水,1
4291024M1024,☆【限】(毒)レブラミドカプセル５ｍｇ,2
1190017F1118,◇ﾌﾟﾚｶﾞﾊﾞﾘﾝOD錠25mg,3
4419005Q1072,ペリアクチンシロップ0.04%(0.4mg/ml)(院外,2
1179039F1036,☆ルボックス錠２５ｍｇ（院外専用）,16
1179041F2021,パキシル錠２０ｍｇ（院外専用）,28
1179041F2307,パロキセチン錠２０ｍｇ｢明治｣(院外専用),16
6349800X2028,ベリプラストＰコンビセット組織接着用１ml,1
1231001F1030,◇ﾏｲﾃﾗｰｾﾞ錠10mg,1
2329122C1052,◇ｱｽﾞﾚﾝ･ｸﾞﾙﾀﾐﾝ配合細粒,1
2260701F1255,◇ﾎﾟﾋﾟﾖﾄﾞﾝｶﾞｰｸﾞﾙ7%,3
4291068F1028,【受け皿試験】ｾﾞｼﾞｭｰﾗ錠100mg,3
3259529G1030,ビーフリード輸液(500mL)（院外／退院）,2
2325401A2027,ガスター注射液(20mg/2mL)(院外/退院),1
2239001Q1166,ムコソルバンシロップ(３ｍｇ/ｍL）(院外),6
2171701S7055,◇ﾊﾞｿﾚｰﾀｰﾃｰﾌﾟ27mg,3
3399006F2200,◇ｻﾙﾎﾟｸﾞﾚﾗｰﾄ塩酸塩錠100mg,1
2129010F1030,◇ｱﾐｵﾀﾞﾛﾝ塩酸塩錠100mg,7
3961008F3171,◇ｸﾞﾘﾒﾋﾟﾘﾄﾞ錠0.5mg,2
1259700Q1027,エクロックゲル５％・２０ｇ（院外専用）,1
2325003F2055,◇ﾌｧﾓﾁｼﾞﾝ錠20,6
2190022F1199,◇ｱﾒｼﾞﾆｳﾑﾒﾁﾙ硫酸塩錠10mg,4
1190024M1028,◇ﾃｸﾌｨﾃﾞﾗｶﾌﾟｾﾙ120mg,1
5200093C1070,◇ｸﾗｼｴ大柴胡湯ｴｷｽ細粒,1
5200132C1064,◇ｸﾗｼｴ麻黄湯ｴｷｽ細粒,1
1190017F4036,◇ﾌﾟﾚｶﾞﾊﾞﾘﾝOD錠50mg,2
,KW-6356錠3mg【緑】(神内・180044),4
,KW-6356錠3mg【橙】(神内・180044),4
6250021M1035,[入院患者予防用]ｵｾﾙﾀﾐﾋﾞﾙｶﾌﾟｾﾙ75mg｢ｻﾜｲ｣,8
1329707Q1076,◇ﾌﾙﾁｶｿﾞﾝ点鼻液50μg28噴霧用,5
2642703M1036,◇ﾍﾞﾅﾊﾟｽﾀ軟膏4%,7
7149006X1221,◇ﾊｯｶ油,6
2149048F2061,◇ｱｼﾞﾙｻﾙﾀﾝ錠40mg,2
1141005M2094,ポンタールカプセル２５０ｍｇ（院外専用）,1
2699703M1039,◇ｱｸﾄｼﾝ軟膏3%,1
2144003F2220,◇ｱﾗｾﾌﾟﾘﾙ錠25mg,9
2590010F2046,◇ｼﾛﾄﾞｼﾝ錠4mg,2
2329009C3078,☆ドグマチール細粒(成分量入力)(院外専用),1
1179046F2113,◇ｾﾙﾄﾗﾘﾝ錠50mg,1
4229101D1025,☆ﾃｨｰｴｽﾜﾝ配合顆粒T20(20mg/0.2g/包)(院外),7
1124007F2220,◇ﾄﾘｱｿﾞﾗﾑ錠0.25mg,2
2590010F4138,◇ｼﾛﾄﾞｼﾝOD錠4mg,1
1190012F4181,◇ﾄﾞﾈﾍﾟｼﾞﾙ塩酸塩OD錠5mg,3
2160005F1021,◇ﾚﾙﾊﾟｯｸｽ錠20mg,6
2160700Q1027,イミグラン点鼻液２０ｍｇ（院外専用）,13
1179042F3022,セロクエル錠２００ｍｇ（院外専用）,3
2325003F2411,◇ﾌｧﾓﾁｼﾞﾝ錠20mg,2
2649866M1022,◇強力ﾚｽﾀﾐﾝｺｰﾁｿﾞﾝｺｰﾜ軟膏,3
5200132D1035,◇ﾂﾑﾗ麻黄湯ｴｷｽ顆粒ｲ),3
2233002Q1035,◇ﾑｺﾀﾞｲﾝｼﾛｯﾌﾟ5%,5
4291003F2100,◇ﾀﾓｷｼﾌｪﾝ錠20mg,1
3222013D1075,◇ｸｴﾝ酸第一鉄ﾅﾄﾘｳﾑ顆粒8.3%,5
3942001F1040,◇ﾍﾞﾈｼｯﾄﾞ錠250mg,3
1139004F2106,◇ﾊﾞﾚﾘﾝ錠200mg,2
